test id,os id,3,6,runs
287,37,0.9810969941,0.9984505733,3227
257,21,0.9818124141,0.9923865919,9457
254,21,0.9865261228,0.9947754354,10910
82,37,0.9880902633,0.994149603,4786
243,25,0.9895867231,0.9947933615,3073
281,20,0.989869754,0.9975191234,4837
287,35,0.9903185509,0.9981261711,3202
293,35,0.9906308557,0.993441599,3202
225,33,0.9912527335,0.9931271478,3201
72,33,0.9912854031,0.9981325864,3213
225,25,0.9913285847,0.9941158253,3229
223,24,0.9913419913,0.9956709957,3234
255,24,0.9915360502,0.9952978056,3190
325,21,0.9919901417,0.9956869994,1623
255,25,0.9921923798,0.9975015615,3202
250,25,0.9922191099,0.9962651727,3213
293,37,0.9922528664,0.9962813759,3227
287,25,0.9924409449,0.9977952756,3175
87,29,0.9924906133,0.9987484355,4794
251,25,0.9927536232,0.9965343415,3174
313,35,0.9927935566,0.9949130988,2359
254,25,0.9928237129,0.9978159126,3205
313,24,0.9930008749,0.9965004374,2286
245,25,0.993166287,0.9990237553,3073
325,24,0.9933694997,0.9969861362,1659
254,24,0.9933899906,0.9977966635,3177
72,35,0.9934436466,0.9962535123,3203
225,35,0.9934924078,0.9975209173,3227
315,25,0.9935261114,0.9982736297,2317
315,35,0.9936413735,0.9966087325,2359
319,25,0.9938271605,0.9979423868,486
223,25,0.9938706712,0.997241802,3263
242,25,0.9939191244,0.997263606,3289
223,35,0.9939577039,0.998489426,3310
323,37,0.9940081993,0.9993692841,6342
293,25,0.994015748,0.9981102362,3175
82,24,0.9941249227,0.9965986395,3234
309,25,0.9941463415,0.9954471545,3075
82,35,0.9942598187,0.9972809668,3310
281,29,0.9942954449,0.9976160068,11745
275,24,0.9943573668,0.9956112853,3190
261,24,0.9943573668,0.9981191223,3190
309,24,0.9943745864,0.9980145599,3022
257,35,0.9943977591,0.9987550576,3213
255,35,0.9943977591,0.9971988796,3213
254,35,0.9945717732,0.9969843185,3316
232,31,0.9946557686,0.9962276014,3181
73,24,0.9947040498,0.9971962617,3210
205,8,0.9947581249,0.9970795267,13354
82,25,0.9947900705,0.9969353356,3263
257,24,0.994984326,0.9990595611,3190
