"test, platform","weekday","average"
"('v8_7', 'OSX64')","Monday","27155.698"
"('v8_7', 'OSX64')","Tuesday","72003.066"
"('v8_7', 'OSX64')","Friday","23148.810"
"('v8_7', 'OSX64')","Wednesday","15828.462"
"('v8_7', 'OSX64')","Thursday","14200.804"
"('v8_7', 'OSX64')","Sunday","30115.324"
"('v8_7', 'OSX64')","Saturday","21278.490"
"('v8_7', 'Win8')","Monday","30102.120"
"('v8_7', 'Win8')","Tuesday","194590.550"
"('v8_7', 'Win8')","Friday","27853.411"
"('v8_7', 'Win8')","Wednesday","27598.387"
"('v8_7', 'Win8')","Thursday","35037.796"
"('v8_7', 'Win8')","Sunday","21373.438"
"('v8_7', 'Win8')","Saturday","18189.996"
"('v8_7', 'Win7')","Monday","58687.732"
"('v8_7', 'Win7')","Tuesday","207233.887"
"('v8_7', 'Win7')","Friday","54533.851"
"('v8_7', 'Win7')","Wednesday","65025.620"
"('v8_7', 'Win7')","Thursday","64753.154"
"('v8_7', 'Win7')","Sunday","60964.501"
"('v8_7', 'Win7')","Saturday","82207.195"
"('v8_7', 'Linux64')","Monday","15244.621"
"('v8_7', 'Linux64')","Tuesday","95780.821"
"('v8_7', 'Linux64')","Friday","15125.775"
"('v8_7', 'Linux64')","Wednesday","17655.138"
"('v8_7', 'Linux64')","Thursday","23741.284"
"('v8_7', 'Linux64')","Sunday","9314.487"
"('v8_7', 'Linux64')","Saturday","13912.393"
"('v8_7', 'OSX10.8')","Monday","182464.998"
"('v8_7', 'OSX10.8')","Tuesday","341347.633"
"('v8_7', 'OSX10.8')","Friday","164773.679"
"('v8_7', 'OSX10.8')","Wednesday","101736.917"
"('v8_7', 'OSX10.8')","Thursday","85453.317"
"('v8_7', 'OSX10.8')","Sunday","45497.865"
"('v8_7', 'OSX10.8')","Saturday","25303.178"
"('v8_7', 'Linux')","Monday","24666.485"
"('v8_7', 'Linux')","Tuesday","115721.574"
"('v8_7', 'Linux')","Friday","26590.375"
"('v8_7', 'Linux')","Wednesday","26191.492"
"('v8_7', 'Linux')","Thursday","29159.072"
"('v8_7', 'Linux')","Sunday","18499.865"
"('v8_7', 'Linux')","Saturday","19804.502"
"('tpaint', 'OSX64')","Monday","34.085"
"('tpaint', 'OSX64')","Tuesday","57.138"
"('tpaint', 'OSX64')","Friday","20.690"
"('tpaint', 'OSX64')","Wednesday","22.618"
"('tpaint', 'OSX64')","Thursday","28.974"
"('tpaint', 'OSX64')","Sunday","16.799"
"('tpaint', 'OSX64')","Saturday","36.724"
"('tpaint', 'Win8')","Monday","6.618"
"('tpaint', 'Win8')","Tuesday","6.931"
"('tpaint', 'Win8')","Friday","5.505"
"('tpaint', 'Win8')","Wednesday","7.714"
"('tpaint', 'Win8')","Thursday","6.466"
"('tpaint', 'Win8')","Sunday","4.861"
"('tpaint', 'Win8')","Saturday","4.705"
"('tpaint', 'WinXP')","Monday","24.470"
"('tpaint', 'WinXP')","Tuesday","21.464"
"('tpaint', 'WinXP')","Friday","13.742"
"('tpaint', 'WinXP')","Wednesday","31.204"
"('tpaint', 'WinXP')","Thursday","15.878"
"('tpaint', 'WinXP')","Sunday","7.267"
"('tpaint', 'WinXP')","Saturday","6.595"
"('tpaint', 'Win7')","Monday","14.621"
"('tpaint', 'Win7')","Tuesday","12.518"
"('tpaint', 'Win7')","Friday","12.267"
"('tpaint', 'Win7')","Wednesday","14.996"
"('tpaint', 'Win7')","Thursday","14.566"
"('tpaint', 'Win7')","Sunday","10.401"
"('tpaint', 'Win7')","Saturday","14.403"
"('tpaint', 'Linux64')","Monday","33.286"
"('tpaint', 'Linux64')","Tuesday","31.687"
"('tpaint', 'Linux64')","Friday","34.852"
"('tpaint', 'Linux64')","Wednesday","34.857"
"('tpaint', 'Linux64')","Thursday","39.114"
"('tpaint', 'Linux64')","Sunday","19.807"
"('tpaint', 'Linux64')","Saturday","27.148"
"('tpaint', 'OSX10.8')","Monday","49.058"
"('tpaint', 'OSX10.8')","Tuesday","286.714"
"('tpaint', 'OSX10.8')","Friday","50.759"
"('tpaint', 'OSX10.8')","Wednesday","53.148"
"('tpaint', 'OSX10.8')","Thursday","130.841"
"('tpaint', 'OSX10.8')","Sunday","38.852"
"('tpaint', 'OSX10.8')","Saturday","57.657"
"('tpaint', 'Linux')","Monday","45.644"
"('tpaint', 'Linux')","Tuesday","43.330"
"('tpaint', 'Linux')","Friday","43.425"
"('tpaint', 'Linux')","Wednesday","43.668"
"('tpaint', 'Linux')","Thursday","44.453"
"('tpaint', 'Linux')","Sunday","25.772"
"('tpaint', 'Linux')","Saturday","20.564"
"('remote-tsvgx', 'OSX64')","Monday","118.925"
"('remote-tsvgx', 'OSX64')","Tuesday","160.415"
"('remote-tsvgx', 'OSX64')","Friday","359.528"
"('remote-tsvgx', 'OSX64')","Wednesday","176.965"
"('remote-tsvgx', 'OSX64')","Thursday","240.313"
"('remote-tsvgx', 'OSX64')","Sunday","75.660"
"('remote-tsvgx', 'OSX64')","Saturday","166.461"
"('remote-tsvgx', 'Win8')","Monday","43.653"
"('remote-tsvgx', 'Win8')","Tuesday","440.561"
"('remote-tsvgx', 'Win8')","Friday","89.382"
"('remote-tsvgx', 'Win8')","Wednesday","46.335"
"('remote-tsvgx', 'Win8')","Thursday","49.154"
"('remote-tsvgx', 'Win8')","Sunday","38.911"
"('remote-tsvgx', 'Win8')","Saturday","37.521"
"('remote-tsvgx', 'WinXP')","Monday","395.438"
"('remote-tsvgx', 'WinXP')","Tuesday","553.022"
"('remote-tsvgx', 'WinXP')","Friday","583.372"
"('remote-tsvgx', 'WinXP')","Wednesday","566.301"
"('remote-tsvgx', 'WinXP')","Thursday","445.013"
"('remote-tsvgx', 'WinXP')","Sunday","475.957"
"('remote-tsvgx', 'WinXP')","Saturday","548.764"
"('remote-tsvgx', 'Win7')","Monday","37.868"
"('remote-tsvgx', 'Win7')","Tuesday","43.251"
"('remote-tsvgx', 'Win7')","Friday","33.835"
"('remote-tsvgx', 'Win7')","Wednesday","39.873"
"('remote-tsvgx', 'Win7')","Thursday","34.838"
"('remote-tsvgx', 'Win7')","Sunday","44.351"
"('remote-tsvgx', 'Win7')","Saturday","47.188"
"('remote-tsvgx', 'Linux64')","Monday","51.847"
"('remote-tsvgx', 'Linux64')","Tuesday","51.318"
"('remote-tsvgx', 'Linux64')","Friday","48.849"
"('remote-tsvgx', 'Linux64')","Wednesday","21.139"
"('remote-tsvgx', 'Linux64')","Thursday","68.175"
"('remote-tsvgx', 'Linux64')","Sunday","14.986"
"('remote-tsvgx', 'Linux64')","Saturday","78.657"
"('remote-tsvgx', 'OSX10.8')","Monday","368.822"
"('remote-tsvgx', 'OSX10.8')","Tuesday","1042.617"
"('remote-tsvgx', 'OSX10.8')","Friday","43697.288"
"('remote-tsvgx', 'OSX10.8')","Wednesday","208.429"
"('remote-tsvgx', 'OSX10.8')","Thursday","276.487"
"('remote-tsvgx', 'OSX10.8')","Sunday","240.267"
"('remote-tsvgx', 'OSX10.8')","Saturday","289.543"
"('remote-tsvgx', 'Linux')","Monday","33.172"
"('remote-tsvgx', 'Linux')","Tuesday","81.523"
"('remote-tsvgx', 'Linux')","Friday","34.370"
"('remote-tsvgx', 'Linux')","Wednesday","28.517"
"('remote-tsvgx', 'Linux')","Thursday","55.202"
"('remote-tsvgx', 'Linux')","Sunday","34.484"
"('remote-tsvgx', 'Linux')","Saturday","26.804"
"('remote-tsvgx', 'Android')","Monday","42330.038"
"('remote-tsvgx', 'Android')","Tuesday","23581.080"
"('remote-tsvgx', 'Android')","Friday","40459.402"
"('remote-tsvgx', 'Android')","Wednesday","21649.961"
"('remote-tsvgx', 'Android')","Thursday","28009.840"
"('remote-tsvgx', 'Android')","Sunday","33115.865"
"('remote-tsvgx', 'Android')","Saturday","10710.014"
"('remote-troboprovider', 'Android')","Monday","2068.192"
"('remote-troboprovider', 'Android')","Tuesday","2136.543"
"('remote-troboprovider', 'Android')","Friday","2371.837"
"('remote-troboprovider', 'Android')","Wednesday","2222.786"
"('remote-troboprovider', 'Android')","Thursday","2168.390"
"('remote-troboprovider', 'Android')","Sunday","1801.797"
"('remote-troboprovider', 'Android')","Saturday","1858.245"
"('remote-trobocheck2', 'Android')","Monday","5.474"
"('remote-trobocheck2', 'Android')","Tuesday","6.635"
"('remote-trobocheck2', 'Android')","Friday","38.580"
"('remote-trobocheck2', 'Android')","Wednesday","4.956"
"('remote-trobocheck2', 'Android')","Thursday","27.701"
"('remote-trobocheck2', 'Android')","Sunday","2.530"
"('remote-trobocheck2', 'Android')","Saturday","3.020"
"('sessionrestore_no_auto_restore', 'OSX64')","Monday","208.590"
"('sessionrestore_no_auto_restore', 'OSX64')","Tuesday","8102.292"
"('sessionrestore_no_auto_restore', 'OSX64')","Friday","102.337"
"('sessionrestore_no_auto_restore', 'OSX64')","Wednesday","94.955"
"('sessionrestore_no_auto_restore', 'OSX64')","Thursday","176.573"
"('sessionrestore_no_auto_restore', 'OSX64')","Sunday","76.783"
"('sessionrestore_no_auto_restore', 'OSX64')","Saturday","77.621"
"('sessionrestore_no_auto_restore', 'Win8')","Monday","198.025"
"('sessionrestore_no_auto_restore', 'Win8')","Tuesday","4964.953"
"('sessionrestore_no_auto_restore', 'Win8')","Friday","164.151"
"('sessionrestore_no_auto_restore', 'Win8')","Wednesday","197.907"
"('sessionrestore_no_auto_restore', 'Win8')","Thursday","128.194"
"('sessionrestore_no_auto_restore', 'Win8')","Sunday","124.173"
"('sessionrestore_no_auto_restore', 'Win8')","Saturday","173.924"
"('sessionrestore_no_auto_restore', 'WinXP')","Monday","202.921"
"('sessionrestore_no_auto_restore', 'WinXP')","Tuesday","4264.903"
"('sessionrestore_no_auto_restore', 'WinXP')","Friday","28.955"
"('sessionrestore_no_auto_restore', 'WinXP')","Wednesday","234.477"
"('sessionrestore_no_auto_restore', 'WinXP')","Thursday","44.678"
"('sessionrestore_no_auto_restore', 'WinXP')","Sunday","31.448"
"('sessionrestore_no_auto_restore', 'WinXP')","Saturday","20.248"
"('sessionrestore_no_auto_restore', 'Win7')","Monday","180.222"
"('sessionrestore_no_auto_restore', 'Win7')","Tuesday","5066.049"
