"test","date","variance","weekday"
"v8_7 OSX64","2014-01-06","6651.3262041551097","Monday"
"v8_7 OSX64","2014-01-07","10166.55779938014","Tuesday"
"v8_7 OSX64","2014-01-08","13276.263106372302","Wednesday"
"v8_7 OSX64","2014-01-09","24211.330893387727","Thursday"
"v8_7 OSX64","2014-01-10","18466.929718869171","Friday"
"v8_7 OSX64","2014-01-11","8788.6062859374761","Saturday"
"v8_7 OSX64","2014-01-12","34162.033717333288","Sunday"
"v8_7 OSX64","2014-01-13","199211.76206127543","Monday"
"v8_7 OSX64","2014-01-14","161887.5562843821","Tuesday"
"v8_7 OSX64","2014-01-15","19754.717539878922","Wednesday"
"v8_7 OSX64","2014-01-16","17683.614678741498","Thursday"
"v8_7 OSX64","2014-01-17","18600.281299265305","Friday"
"v8_7 OSX64","2014-01-18","502552.77076331363","Saturday"
"v8_7 OSX64","2014-01-19","1074.9350984374826","Sunday"
"v8_7 OSX64","2014-01-20","253032.47476218783","Monday"
"v8_7 OSX64","2014-01-21","2936.7837338842924","Tuesday"
"v8_7 OSX64","2014-01-22","1571.0182308956905","Wednesday"
"v8_7 OSX64","2014-01-23","2075.9776938475688","Thursday"
"v8_7 OSX64","2014-01-24","2392.2248167352436","Friday"
"v8_7 OSX64","2014-01-25","5170.1750499999462","Saturday"
"v8_7 OSX64","2014-01-26","1177377.3897840003","Sunday"
"v8_7 OSX64","2014-01-27","3333.2659742883602","Monday"
"v8_7 OSX64","2014-01-28","2245.7048110726741","Tuesday"
"v8_7 OSX64","2014-01-29","2426.5729959183573","Wednesday"
"v8_7 OSX64","2014-01-30","3612.2604562481988","Thursday"
"v8_7 OSX64","2014-01-31","4497.6164471110988","Friday"
"v8_7 OSX64","2014-02-01","3319.8218198347022","Saturday"
"v8_7 OSX64","2014-02-02","3558.6330402343669","Sunday"
"v8_7 OSX64","2014-02-03","2929.9140442906551","Monday"
"v8_7 OSX64","2014-02-04","10639.679758648384","Tuesday"
